职位名称,部门,工作地点,工作性质,经验,学历,薪资,专业要求,招聘人数,职位诱惑,岗位介绍,公司名称,公司行业,公司性质,融资阶段,公司规模,公司主页,发布日期,发布网站,原始URL
运营专员,NULL,北京-朝阳区,全职,1-3年经验,大专,5000-10000 ,中文、市场营销、房地产专业,1,"环境好,双休,五险一金",职位描述                        岗位职责：1、负责网站图文资料的撰写、上传，确保信息的完整与正确，熟悉房地产尤佳；2、负责运营产品的维护与改进；3、负责运营数据的整理、分析；4、上级交办的其他工作。任职要求：1、大专以上学历，中文、市场营销、房地产专业优先；2、对房地产市场有一定了解，有1年以上房地类网站或电商类网站工作经验；3、工作思维清晰，有较强的文案写作能力和语言表达能力；4、踏实稳重，具有高度的责任心、良好的团队合作和沟通能力。,北京亿平方科技有限公司,"金融,投资,证券",民营,NULL,20-99人,http://www.yipingfang.com/,12/29/17,直聘网,http://www.zhipin.cn/jobs/959
塑胶模具CNC操作工,NULL,重庆-荣昌区,全职,1-3年经验,高中,3000-5000 ,NULL,2,"管理规范,全勤奖,有补助",职位描述                        岗位职责要求：1、熟练使用三菱及法兰克控制面板加工中心机床操作：2、根据CAM编程数据及工件图纸加工出合格的工件。3、根据刀具性能合理的选择参数达到加工工件合格及保护刀具。4、对设备进行点检保养及环境5S整理。5、对机台性能非常了解异常发生时及时处理。6、能用控制面板编制一些简单的程式。就程式路径合理化问题给CAM工程任职资格：1、从事CNC加工2年以上，熟悉CNC编程代码，能解决加工中出现的一些问题。2、对加工中心的刀具使用非常熟悉，刀具性能及使用参数。3、认真按照CNC操作流程作业，质量检验标准，刀具管制流程，不合格异常及时处理。4、自检每个加工部件质量，发现异常及时处理。5、沟通能力强、团队协作能力加，做事踏实勤恳。,重庆联荣智能模具股份有限公司,其他行业,股份制企业,NULL,20-99人,NULL,12/26/17,直聘网,http://www.zhipin.cn/jobs/390
wed前台,NULL,天津-北辰区,全职,1-3年经验,本科,5000-10000 ,NULL,5,"双休,五险一金,朝九晚五",职位描述                        岗位要求： 1、负责网站的页面制作、实现网站用户交互的效果； 2、对UI设计的结果进行页面制作（DIV/CSS/css3+xhtml/html5+JS）； 3、基于HTML5.0标准进行页面制作，编写可复用的用户界面组件； 4、配合程序进行代码的调试、bug修复、浏览器兼容性调优； 5、参与部分页面的策划创新工作； 任职要求： 1、两年以上网站前端设计、开发制作经验； 2、精通XHTML/HTML5/CSS3，能编写符合W3C标准、兼容主流浏览器的代码； 3、精通Ajax、Json及****等数据交换格式； 4、精通XHTML /HTML5/CSS3，能编写符合W3C标准、兼容主流浏览器的代码；,泰华宏业（天津）机器人技术研究院有限责任公司,"互联网,电子商务",民营,NULL,20-99人,NULL,12/26/17,直聘网,http://www.zhipin.cn/jobs/687
产品经理,NULL,广州-萝岗区,全职,1-3年经验,大专,10000-15000 ,NULL,1,NULL,职位描述                        岗位职责：1. 负责研究用户行为习惯，把握用户的各层次需求，研究市场同类产品，收集、整理各方需求；2. 负责产品规划、业务流程设计、功能设计、交互设计、产品优化等工作；3. 撰写用户需求说明书、产品业务规范等，利用相关产品设计工具完成原型设计；4. 负责相关产品开发项目周期和进度把控，确保对产品开发至最终上线运营，对进度质量负责；5. 负责跨部门协调和沟通，推动界面、开发、测试、运维、运营等人员紧密合作达成产品目标；6. 跟踪分析产品上线后的运营数据，定期进行数据分析，评估、优化用户体验和功能。任职要求：1. 大专及以上学历，具备2年以上互联网产品经理经验；2. 熟悉PRD文档编写，Visio、AXURE、PS等等常规工具软件；3. 对技术研发、网站运营环节有了解；4. 有互联网金融门户业务平台、金融财经门户网站产品设计开发经验优先；5. 协调沟通能力强，在进行产品策划过程中，能指导或配合同事保质保量共同完成策划项目；6. 深具创业精神，工作主动，热情，易于相处，善于合作。,广州卡宝宝互联网金融信息服务股份有限公司,"金融,投资,证券",上市公司,已上市,100-499人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/93
市场总监（必须金融行业经验）,NULL,广州-萝岗区,全职,5-10年经验,本科,20000以上 ,营销、金融、财务、经济专业,1,NULL,职位描述                        岗位职责：1、带领团队开拓贷款、银行和理财机构及其业务经理，建立渠道合作，提高公司平台影响力和知名度；2、制订贷款、理财业务等营销策略并推进执行，确保完成公司销售目标； ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?3、维护现有贷款、理财业务渠道资源及合作关系；4、进行市场需求调研，分析互联网金融行业发展趋势，为公司业务模式和产品改进提供决策建议；5、负责团队管理和人员培训。任职资格：1、本科以上学历，营销、金融、财务、经济专业或相关工作经历；2、5年以上金融相关行业销售管理经验，其中3年以上同等经历；3、精通贷款行业或银行运作模式；4、出色的营销培训能力、谈判能力、协调沟通能力、数据分析能力和抗压能力；5、掌握市场营销知识、广告策划传播知识、财务统计管理知识以及企业管理知识；6、有银行工作、互联网金融行业工作经验优先。薪资结构：底薪+提成+团队奖金+年终奖金（表现优秀者会有股权），年薪可达数十万。,广州卡宝宝互联网金融信息服务股份有限公司,"金融,投资,证券",上市公司,已上市,100-499人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/90
中级JAVA开发工程师,NULL,广州-萝岗区,全职,1-3年经验,大专,15000-20000 ,NULL,1,NULL,"职位描述                        工作职责1. 负责卡宝宝互联网金融平台网站的PC以及移动端的技术开发和维护，进行程序设计和编码实现，确保安全、质量和性能；2. 参与相关产品需求讨论与产品系统架构的设计优化工作，与团队一起解决大数据量,高并发,高可靠性等各种技术问题,不断挑战技术难题；3. 根据开发规范编写各种开发文档及项目文档。岗位要求1.2年以上互联网行业JAVA项目开发经验；2.熟悉Linux系统、分布式服务框架（Thrift、Dubbo或Finagle等）、分布式技术（包括缓存、消息系统、热部署、JMX等）、底层中间件；3.对服务端业务模块的敏捷设计、迭代重构、安全性、开放API、负载均衡、服务调度、容错处理、MySQL集群、搜索、缓存、高并发等方面有一定理解。",广州卡宝宝互联网金融信息服务股份有限公司,"金融,投资,证券",上市公司,已上市,100-499人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/91
行政教务,NULL,佛山-NULL,全职,1-3年经验,本科,3000-5000 ,文秘、行政管理等相关专业,1,"交通方便,管理规范,压力小",职位描述                        岗位职责：1、负责校区各种日常活动的后勤管理，参与各种推广性活动；2、负责编排各班级课程进度表，统计课时，对各种教务数据进行统计和分析；3、负责与家长保持沟通，积极收集家长反馈的意见建议，向校长提出相应的整改措施，提高学生满意度；4、负责监督教师出勤情况；5、完成校长、领导交付的其他工作。任职要求：1、文秘、行政管理等相关专业，具有幼教经验或教育营销经验者优先；2、工作咨询认真，责任心强，为人正直； 3、热爱教育培训工作，职业操守好，确保学校机密信息不外泄；4、熟练使用各种办公软件，具有较好的沟通协调能力和客户服务意识。,广东乐慈坊健康管理有限公司,"教育,培训",民营,NULL,20-99人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/240
未来中心产品经理,NULL,北京-朝阳区,全职,3-5年经验,本科,20000以上 ,NULL,1,NULL,职位描述                        工作职责：1、负责互联网保险产品平台规划，挖掘用户需要的新产品；2、持续进行用户需求分析，整理并撰写产品需求、完成产品原型设计；3、协同公司内部各部门之间的协作，推动新产品上线；4、关注平台的用户体验，结合数据持续优化产品流程，提升用户满意度及转化率；5、了解竞品动态，制定所负责产品的发展规划和阶段性目标。任职要求：1、全日制本科及以上学历，2年以上互联网产品策划经验，熟悉移动端产品的特性；2、良好的产品分析逻辑和产品设计思路；能从数据分析中发现产品问题或商业机会；3、具备与多团队协作沟通能力，组织内积极推动和问题解决能力；4、有电商网站经验者优先、熟悉保险领域者优先。,阳光保险集团股份有限公司,"金融,银行,保险",其它,NULL,1000-9999人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/53
仓管,NULL,广州-番禺区,全职,1-3年经验,高中,3000-5000 ,NULL,1,"加班费,包食宿,全勤奖",职位描述                        岗位职责1、负责仓库日常物资的验收、入库、码放、保管、盘点、对账等工作；2、负责仓库日常物资的拣选、复核；3、负责保持仓内货品和环境的清洁、整齐和卫生工作；4、信息系统数据的录入、填写和传递，相关单证、报表的整理和归档；5、定期与仓库核对数据并实地盘点。任职资格1、中专及以上学历；2、两年以上相关工作经验，有五金厂仓库管理经验者优先考虑；3、熟悉仓库物料管理流程；4、会做仓库流SK帐；5、有组织盘点的能力。,广州市御品阳篷有限公司,"家具,家电,工艺品,玩具",民营,NULL,20-99人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/571
wed后台,NULL,天津-北辰区,全职,1-3年经验,本科,5000-10000 ,计算机、数学相关专业,3,"双休,五险一金,朝九晚五",职位描述                        岗位要求：1、负责公司项目产品的开发和维护；2、参与项目需求调研、分析、方案设计讨论等过程；3、进行文档编写及项目实施等工作；任职要求：1、本科及以上学历，计算机、数学相关专业；2、两年以上.net或JAVA平台开发经验，思维逻辑严谨，具备良好的文档书写能力；3、熟练SQL语言，掌握SQL Server或mongodb数据库的使用；4、能够独立完成功能模块开发；5、责任心强，正直诚实，值得信赖；6、具备良好的团队协作能力；7、能适应短期出差工作；,泰华宏业（天津）机器人技术研究院有限责任公司,"互联网,电子商务",民营,NULL,20-99人,NULL,12/26/17,直聘网,http://www.zhipin.cn/jobs/689
Erlang工程师,NULL,上海-杨浦区,全职,3-5年经验,本科,15000-20000 ,NULL,-1,NULL,职位描述                        岗位：Erlang发工程师基本要求：全日制本科研究生毕业生一本大学理工科；北京上海放宽至二本大学理工科，英语阅读能力强，平时已经有使用英语查询搜索引擎的习惯。（否则无法胜任当前的学习和工作）工作地点：上海／北京。其他要求：录用者愿意接受公司的背景调查。岗位技术要求：1、计算机相关专业，本科以上学历；2、至少三年以上的Erlang使用经验，精通Erlang函数型编程方法，精通网络和并发编程、分布式编程；3、具有手机客户端消息推送项目经验，1年以上核心开发经验；4、熟悉RabbitMQ消息推送及集群搭建优先。加分。5、良好的沟通能力与团队协作能力，高度的工作责任心和敬业精神；?6、编写服务器端总体设计文档，实现关键框架代码；7、负责服务器端架构设计、模块划分；8、（主程）主导制定和指导执行服务器端开发流程和标准，对服务器端软件开发质量负全责；9、对于技术难题负责组织攻关，撰写技术报告。10、担任后端业务和算法开发工程师角色，解决百万／千万用户的数据处理。11、全栈加分，Erlang / Elixir (非2017年公司使用开发语言) ／Java (非2017年公司项目使用开发语言)／ NodeJS(非2017年公司项目使用开发语言) ／其他项目入职基本必备能力：1、Erlang相关用书，随机题考试。面试者需要掌握至少90%的知识点。2、熟练掌握英文阅读，完成阅读Erlang的相关技术文档。3、通过给定的项目要求，完成面试的程序开发。（根据项目难度，1-2小时）SOW：1、使用CONFLUENCE进行项目文档管理。先完成详细设计文档，沟通技术细节后，再进行开发。2、使用JIRA进行项目管理。3、初级技术岗／所有级别管理岗，每日提交工作日志，准点考勤。薪酬待遇：1、团队项目绩效2、免费饮料3、顶尖五星级装修的办公环境（上海杨浦区，政学路77号一层）；北京：海淀区创业大街2号楼36KR。,上海云势网络科技有限公司,"计算机软件,硬件",民营,NULL,20-99人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/44
JAVA软件工程师,NULL,广州-番禺区,全职,3-5年经验,本科,10000-15000 ,计算机软件相关专业,1,NULL,职位描述                        岗位职责：1、负责所属模块的代码开发、调试与维护工作；2、协助并完成其他各类技术开发任务。任职资格：1、计算机软件相关专业，本科及以上学历，3年以上的互联网项目开发经验；2、精通Java语言，熟悉软件开发流程，熟悉Spring、Maven、Git等开发相关技术，有分布式服务项目开发经验优先；3、对数据库的优化有一定的理解，有NOSQL数据库经验者优先；4、良好的规范编程习惯和开发文档编写能力；5、能够独立完成分配的任务，工作踏实认真、责任心强，善于钻研，有团队合作精神；,广州市万表科技股份有限公司,"互联网,电子商务",民营,NULL,100-499人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/5
Java中级开发工程师,NULL,深圳-南山区,全职,1-3年经验,大专,10000-15000 ,NULL,-1,NULL,"职位描述                        岗位职责：1、负责并参与游戏后台架构设计、系统设计、部署设计、核心模块研发；2、负责服务器端逻辑系统的设计及开发；3、负责并参与线上游戏维护、bug修复以及监控服务器的健康情况；4、负责并参与游戏数据分析、管理后台、客服工具的设计与开发；5、保证代码质量与运行效率，具备项目代码调优、优化的能力。职位要求：1、两年以上Java游戏后台开发经验,至少拥有一款完整游戏上线项目经验；2、精通Java服务器编程，有较强的逻辑思维能力；3、熟练掌握socket通信、RMI、多线程、netty或mina等框架；4、熟悉Linux平台及服务器端开发；熟悉MYSQL数据库、redis等的使用、配置及优化；?5、诚实正直、善于沟通，有责任感，具备出色的学习能力和创新能力。",深圳掌悦网络科技有限公司,网络游戏,民营,NULL,100-499人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/46
互联网+政务规划专家,NULL,广州-NULL,全职,5-10年经验,本科,20000以上 ,NULL,1,NULL,职位描述                        工作职责：1. 对政府行业的信息化现状展开调研与梳理；2. 根据政府的愿景及需求编制政务云、大数据类解决方案；3. 推动建设政务数据与社会数据的融合分析；4. 协同政府开展政务大数据的应用宣传，推广和展示；5. 根据日常工作了解的行业信息，从业务及技术角度对大数据产品的发展方向提出建议。岗位要求：1. 本科以上学历，5年以上相关行业工作经验；2. 熟悉云计算和大数据领域相关产品，掌握其基本功能和特点；3. 政务行业经验丰富，能够独立进行客户需求和分析，根据客户的需求制定有针对性的解决方案；4. 熟悉政务云、大数据行业，能够清晰描述此行业的业务现状和信息化发展现状；5. 具备良好的沟通能力，具有较强的组织协调能力和学习能力,广东腾南网络信息科技有限公司,"互联网,电子商务",上市公司,已上市,10000人以上,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/43
ios开发工程师,NULL,杭州-余杭区,全职,1-3年经验,大专,5000-10000 ,NULL,1,NULL,职位描述                        岗位职责：1、负责从事互联网产品APP的开发；2、负责与UI设计师，后台工程师一起负责产出高质量的产品APP；3、根据开发过程中的体验对产品提出改进建议并执行；任职要求：1、1年以上iOS平台开发工作经验；2、有扎实的C/C++基础，熟练掌握****ive-C语言，了解应用基本算法/数据结构，了解基础设计模式；3、熟悉iOS SDK开发环境及相关开发工具；4、熟练产出兼容于目前各机型iPhone的APP；5、工作热情、积极，易于沟通，能迅速融入团队，有一定抗压能力；加分项：1、了解或者熟悉至少一种服务端开发语言(如PHP/Python/Java/.Net)；2、对金融与投资有浓厚兴趣，有金融产品项目开发经验；3、正在维护技术Blog或开源项目、Github（请附链接）；,杭州政信金服互联网科技有限公司,"互联网,电子商务",民营,NULL,20-99人,http://www.zhengxinjinfu.com；,12/21/17,直聘网,http://www.zhipin.cn/jobs/526
企业服务项目助理,NULL,深圳-南山区,全职,NULL,大专,3000-5000 ,NULL,1,"环境好,年终奖,双休",职位描述                        （一）岗位职责：1、深入了解企业需求，提供科技规划、信息咨询、政策指引等信息服务。 2、利用多渠道挖掘和拓展企业资源，并管理和维护与企业间的良好关系。3、协助开展企业数据库平台开发建设与信息维护工作。4、完成上级交办的其它工作。（二）任职要求：1、大专以上学历，不限工作经验。2、自我要求严格，个人目标感和求知欲强，执行力，抗压能力强。3、口头表达能力强，具有较强的沟通能力及交际技巧，具有亲和力。4、具备一定的市场分析及判断能力，良好的客户服务意识。5、有责任心，能承受较大的工作压力。6、有团队协作精神，善于接受挑战。,深圳市众创空间协会,"非盈利机构,行业协会",其它,NULL,20人以内,http://www.szpis.cn,12/18/17,直聘网,http://www.zhipin.cn/jobs/492
Android开发工程师,NULL,杭州-余杭区,全职,1-3年经验,大专,5000-10000 ,NULL,1,NULL,职位描述                        岗位职责：1、负责从事互联网产品APP的开发；2、负责与UI设计师，后台工程师一起负责产出高质量的产品APP；3、根据开发过程中的体验对产品提出改进建议并执行；任职要求：1、1年以上Android平台开发工作经验；2、有扎实的Java语言基础，熟练掌握Android开发，了解应用基本算法/数据结构，了解基础设计模式；3、熟悉Android SDK开发环境及相关开发工具；4、熟练产出兼容于目前各主流机型适配的APP；5、工作热情、积极，易于沟通，能迅速融入团队，有一定抗压能力；加分项：1、了解或者熟悉至少一种服务端开发语言(如PHP/Python/Java/.Net)；2、对金融与投资有浓厚兴趣，有金融产品项目开发经验；3、正在维护技术Blog或开源项目、Github（请附链接）；,杭州政信金服互联网科技有限公司,"互联网,电子商务",民营,NULL,20-99人,http://www.zhengxinjinfu.com；,12/21/17,直聘网,http://www.zhipin.cn/jobs/525
JAVA开发工程师,NULL,武汉-东湖新技术开发区,全职,1-3年经验,大专,5000-10000 ,计算机相关专业,3,"年终奖,双休,朝九晚五","职位描述                        岗位职责：1、依据产品需求，负责技术编码、调试、单元测试。2、参与系统架构讨论，编写相关的技术方案与文档。3、维护和升级项目软件产品，快速定位并修复现有软件缺陷任职要求：1、大专及以上学历，计算机相关专业，1年以上实际项目开发经验；2、java基础扎实，熟练掌握java web开发技术；3、深入理解MVC架构模式，熟悉spring等开源框架；4、熟悉SQLSERVER数据库,了解的MySQL、Oracle数据库5、积极、主动、敬业，对开发有浓厚兴趣、有良好的自学能力和沟通能力；",武汉道秀达科技有限公司,"计算机软件,硬件",民营,NULL,20人以内,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/623
结构工程师,NULL,深圳-宝安区,全职,3-5年经验,大专,5000-10000 ,NULL,1,"五险一金,包食宿,旅游",职位描述                        1.三年以上玩具结构PE工程师经验。2、负责跟进EP-PS产品送样，测试，问题改良，数据报告整理。3、能积极主动跟进解决生产异常，编制发放工程文件资料，略懂绘图软件。,深圳市阳日电子有限公司,"电子,半导体,集成电路",外商独资,NULL,100-499人,http://www.zego.com.hk/cn/contact.html,12/18/17,直聘网,http://www.zhipin.cn/jobs/108
php后台开发工程师,NULL,广州-天河区,全职,1-3年经验,本科,10000-15000 ,计算机及其相关专业,1,NULL,"职位描述                        岗位职责：1、负责公司各类App门户网站（含移动端），管理后台，客户端接口的研发及其优化；?2、整理编写研发过程中产生的规范文档和接口文档等 ；3、完成相关项目需求。任职要求：1、本科及其以上学历，计算机及其相关专业优先；?2、有2年以上php为主的互联网产品软件开发维护的工作经验；?3、熟悉mysql，redis, memcached， 且对数据库基本理论和实现机制有一定的认识理解；?4、熟悉LNMP开发，有门户网站开发开发经验优先；?5、具有独立承担项目开发工作的能力，具有较强的责任心，主动沟通分享，有强烈的求知欲和上进心。",火烈鸟网络（广州）股份有限公司,"计算机软件,硬件",股份制企业,NULL,100-499人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/6
未来中心架构师,NULL,北京-朝阳区,全职,5-10年经验,本科,20000以上 ,NULL,1,NULL,"职位描述                        工作职责：1、主导产品的软件架构，保证架构设计能够满足产品的功能需求、性能需求、可靠性需求、可维护性需求和可扩展性需求；2、负责带领团队对服务端的架构调研、设计和开发；3、制定技术文档和开发规范，并对开发过程进行持续改进；4、对团队开发人员进行代码质量审核、技术指导和监督,解决技术难题。?任职资格：1、5年以上项目开发经验；2、熟练使用struts2、Spring、MyBatis、Hibernate、redis等框架和常用开源组件；3、熟悉Html、****、CSS等基础技术，能熟练使用常用的前端开源框架和组件；4、能独立进行项目的数据库设计，熟练掌握Oracle plsql；5、熟悉高并发、高可靠性系统的设计、监控和运维，如负载均衡系统、集群和应用监控、系统容量评估、流量控制、性能优化、故障排查、日志收集和分析等6、有完整的项目架构设计经验或掌握完整的项目架构设计者优先。",阳光保险集团股份有限公司,"金融,银行,保险",其它,NULL,1000-9999人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/52
PHP开发工程师,NULL,广州-海珠区,全职,1-3年经验,大专,5000-10000 ,NULL,1,NULL,职位描述                        岗位职责：1、参与电子商务网站及各子系统的需求分析、架构设计，以及具体的开发、维护。2、注重用户体验，提出产品及系统改进意见，保证产品研发工作的质量和进度。3、对现有技术框架进行优化，扩展。对新技术敏感，根据需要预演新的技术，并实应用到项目中。任职要求：1、1年以上以PHP为主的互联网产品软件的开发及维护工作经验。2、熟悉Laravel，掌握常用框架（CI、Laravel、ThinkPHP、ECShop），以上框架均应用于公司现有系统。3、熟悉LAMP/LNMP开发，能编写基本的Shell脚本优先。4、熟悉Html、CSS、****，熟练掌握jquery，熟悉vue优先，熟悉前端工程化优先，熟悉node.js优先。5、熟悉mysql，有数据库设计经验，了解数据库调优。6、有微信公众号或小程序开发经验者优先。7、熟悉git，了解多人协作流程。8、有开源项目经验优先，请附上github个人主页。,广州志能信息科技有限公司,"互联网,电子商务",民营,NULL,20-99人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/12
营销策划,NULL,广州-天河区,全职,1-3年经验,大专,5000-10000 ,NULL,1,NULL,职位描述                        岗位职责： ??1、 负责公司互联网品牌―e互助平台日常线上营销活动的策划工作。2、 配合公关及品牌的推进，在市场层面针对推广渠道进行营销项目的包装与执行。3、 配合渠道推广及会员管理中心进行项目策划。4、 统筹活动执行周期与成本控制，营销活动的项目管理及结果优化。5、 负责分析及优化营销数据，对各项漏斗转化率提出优化建议并执行。任职资格：1、大专以上学历，市场营销、公共关系、新闻学等相关专业2、有公关、广告、营销咨询公司从业背景，有4A广告从业经验优先。3、熟悉全传播、iWom，IMC整合营销推广方案的全案策划。4、熟悉互联网行业及H5、微信服务号、订阅号等营销管理工具，有3年以上市场策划及文案工作经验者优先。5、有成功策划案例者优先。,泛华金融控股集团,"金融,投资,证券",上市公司,已上市,500-999人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/11
