职位名称,部门,工作地点,工作性质,经验,学历,薪资,专业要求,招聘人数,职位诱惑,岗位介绍,公司名称,公司行业,公司性质,融资阶段,公司规模,公司主页,发布日期,发布网站,原始URL
流量运营高级经理,NULL,广州-天河区,全职,3-5年经验,本科,15000-20000 ,NULL,1,NULL,"职位描述                        岗位职责：1、根据品牌定位与用户研究，结合流量和运营数据分析，定位精准的流量渠道；2、制定流量运营目标与策略，针对不同流量，实现对流量入口的有效布局，并有效分解与下达；3、针对SEM/网盟广告/DSP/RTB广告等不同类型广告消耗方式做策略配置，达到自有流量价值的最大化；4、网络口碑维护，主要包含SEO站内外优化，站外相应平台/频道/论坛维护，并制定有效KPI；5、负责自有产品APP的ASO、竞价推广和流量采买，推动下载, 安装, 激活, 付费等关键业务指标；6、BD合作，包含精准流量的置换倒入，友链建设等，通过资源互换等合作方式为公司带来收益及促进新用户的转化；7、通过数据分析调整市场投放策略并提供分析结果与报告。任职要求：1、本科及以上学历；2、3年以上互联网流量运营工作经验，有大型互联网公司相关工作经验优先；3、SEM优化/SEO优化/APP付费推广/ASO/流量数据分析；4、逻辑性强，对数据敏感，有较强的数据分析能力；5、熟悉互联网运营工作，尤其是流量运营经验，有实际操作网络推广与优化经验，具备相对完善的战略与目标设定能力，有一定团队管理经验。",火烈鸟网络（广州）股份有限公司,"计算机软件,硬件",股份制企业,NULL,100-499人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/7
游戏运营专员,NULL,广州-天河区,全职,1-3年经验,本科,5000-10000 ,NULL,1,NULL,职位描述                        岗位职责：1、负责游戏的维护和日常管理工作（网站、官微、公众账号、SNS平台等）、活动策划与执行，及运营数据分析；2、负责游戏线上/线下运营活动的创意、内容策划、活动效果分析与优化；3、游戏产品宣传文案与资源梳理，为市场、渠道提供支持；4、负责游戏运营的日常监控，收集并跟进用户反馈，持续提供研发及运营改善。任职要求：1、热爱游戏，对各类手机游戏有浓厚兴趣，游戏资深玩家优先；2、做事认真，重视工作执行细节；3、有较强的责任心和学习、总结能力；4、对数据敏感，有较强的逻辑思维能力和问题分析能力；5、有1年以上互联网运营工作经验或优秀重点大学应届毕业生优先。,火烈鸟网络（广州）股份有限公司,"计算机软件,硬件",股份制企业,NULL,100-499人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/8
行政前台,NULL,佛山-NULL,全职,1-3年经验,大专,3000-5000 ,具有幼师专业,1,"管理规范,晋升快,压力小",职位描述                        岗位职责：1、协助教务完成校区各种日常活动的后勤管理，参与各种推广性活动；2、协助编排各班级课程进度表，统计课时，对各种教务数据进行统计和分析；3、walk in客户和来访客户的接待，安排安排课室、会议室等行政工作；4、完成校长、领导交付的其他工作。任职要求：1、有亲和力、形象佳，具有幼师专业毕业及幼教经验或教育营销经验者优先；2、工作咨询认真，责任心强，为人正直；  3、热爱教育培训工作，职业操守好，确保学校机密信息不外泄；4、熟练使用各种办公软件，具有较好的沟通协调能力和客户服务意识。,广东乐慈坊健康管理有限公司,"教育,培训",民营,NULL,20-99人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/241
PHP开发工程师,NULL,杭州-余杭区,全职,1-3年经验,大专,5000-10000 ,NULL,1,"双休,朝九晚五,旅游",职位描述                        岗位职责：1、负责从事互联网产品后端技术开发工作；2、在大数据量下保证平台服务的稳定性及正确性；任职要求：1、1年以上开发经验，熟练掌握PHP开发，扎实的代码功底，熟练掌握一种PHP开发框架；2、熟悉git代码管理流程；3、熟悉Linux，熟悉Nginx、MySQL、PHP等软件的部署和配置优化；4、熟练使用Linux（CentOS/Ubuntu）， 能在Linux/Mac环境下工作；5、有至少一个上线项目开发经历，有线上故障运维调试经验；6、具有良好的设计和抽象能力，能够清晰的完成从业务需求到模块拆解的设计过程，并选择合适的技术方案；7、工作热情、积极，易于沟通，能迅速融入团队，有一定抗压能力；加分项：1、能够使用HTML、CSS、****、ajax、jQuery等技术进行Web前端开发的全栈；2、有大流量高并发项目开发、规划经验；3、对分布式文件存储、NoSQL、消息队列、Redis缓存等相关技术有深入研究，并有实际的使用经验；4、对金融与投资有浓厚兴趣，有金融产品项目开发经验；5、正在维护技术Blog或开源项目、Github（请附链接）；,杭州政信金服互联网科技有限公司,"互联网,电子商务",民营,NULL,20-99人,http://www.zhengxinjinfu.com；,12/18/17,直聘网,http://www.zhipin.cn/jobs/527
安卓开发工程师,NULL,天津-北辰区,全职,1-3年经验,本科,5000-10000 ,NULL,6,"双休,五险一金,朝九晚五","职位描述                        岗位要求：1.配合产品人员完成需求分析, 并编写相应的需求文档；2.具备规范的软件设计能力, 针对需求能够独立完成软件的结构设计, 接口设计；3.配合UI设计人员完成软件的界面设计工作；4.负责Android平台的应用软件开发；进行各种品牌手机机型的适配；5.能够根据软件的功能定义以及各模快的设计, 设计并完成各级测试；6.改善软件的易用性，提升用户使用体验；任职要求：1.2年以上相关工作经验；对终端产品的UI/UE有独到的见解与认识，追求良好的用户体验；2.精通java，熟悉面向对象的程序设计；.熟悉android，2年 android app开发经验，熟练掌握界面和交互开发；3.熟悉Json及****数据结构及数据解析；熟悉多线程，内存管理， ****解析；",泰华宏业（天津）机器人技术研究院有限责任公司,"互联网,电子商务",民营,NULL,20-99人,NULL,12/26/17,直聘网,http://www.zhipin.cn/jobs/691
雪球保险产品运营经理,NULL,北京-朝阳区,全职,3-5年经验,本科,10000-15000 ,NULL,1,NULL,职位描述                        岗位职责：1.负责雪球保险产品的运营推广。2.负责雪球保险微信服务号以及雪球保险雪球官方账号的日常运营工作，增加粉丝数，提升粉丝活跃度；3.策划并制定以上渠道的线上活动方案及原创内容的策划与编辑工作；4.挖掘和分析以上渠道端的用户需求，收集用户反馈，分析用户行为及制定合理的用户运营策略；5.负责提升市场推广渠道服务质量；6.负责与合作方的商务沟通；?任职要求：1.本科及以上学历，有金融保险类产品运营经验者优先，雪球用户优先；2.喜欢并乐于接受新鲜事物，头脑灵活，具备良好的数据分析能力、语言及文字表达能力；3.注重团队合作，善于沟通，富有创意，有非常好的服务精神，备良好的数据分析能力、语言及文字表达能力、跨团队协作能力；4.文字表达能力强，勤劳肯干，能承担较大工作压力。,北京雪球信息科技有限公司,"金融,投资,证券",民营,NULL,100-499人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/15
Android 软件工程师,NULL,深圳-宝安区,全职,3-5年经验,本科,10000-15000 ,NULL,1,"环境好,有提成,有年假",职位描述                        1、本科以上学历，至少有两年或两年以上Android实际开发经验；2、精通Java语言，熟练掌握常用开发框架以及常用技术，有C++经验的尤佳；；3、熟悉TCP/IP原理，熟练掌握网络编程、多进程、多线程及进程间通信等技术；4、熟悉常用的数据结构，算法以及数据库技术；5、具有JSP或PHP等网页开发经验的优先考虑；,深圳市安全家科技有限公司,"批发,零售",民营,NULL,20-99人,NULL,12/26/17,直聘网,http://www.zhipin.cn/jobs/719
仓管4000包食宿,NULL,深圳-南山区,全职,NULL,高中,3000-5000 ,NULL,2,"五险一金,包食宿,管理规范",职位描述                        岗位职责：1、执行物资管理中与仓库有关的SOP，确保仓库作业顺利进行2、、负责仓库日常物资的验收、入库、码放、保管、盘点、对账等工作。3、负责保持仓内货品和环境的清洁、整齐和卫生工作。4、仓库数据的统计、存档、帐务和系统数据的输入。5、熟悉仓库进出货操作流程，具备物资保管专业知识和技能6、熟悉电脑办公软件操作。任职资格：1、45岁以下男性，身体健康。2、有相关工作经验1年以上。3、做事有条理，责任心强，积极耐劳，能承受一定的工作压力。薪资待遇：3000-5000。员工福利：含有免费培训，包食宿，购买五险一金，月休6天，享受法定节假日。,深圳市仕莱国际公寓管理有限公司,"酒店,旅游",民营,NULL,100-499人,NULL,12/29/17,直聘网,http://www.zhipin.cn/jobs/707
电商运营经理,NULL,成都-NULL,全职,1-3年经验,本科,5000-10000 ,市场营销、电子商务相关专业,1,"有年假,晋升快,旅游",职位描述                        工作职责：?1、负责电商的运营、招商、推广等，研究制定符合线上运营业务的发展规划；?2、掌握电子商务销售信息，根据市场动向和发展趋势，及时调整经营思路；?3、负责电商运营团队规划、管理、培训、梯队建设等，推动企业文化及各项工作开展；?4、分析电子商务销售情况，达成销售指标及各项产品管控指标；?5、根据公司整体营销策略和目标，制定完善的电商营销策略和销售政策，并策划各类电商活动。?任职资格：?1、本科或以上学历，市场营销、电子商务相关专业；?2、具有5年以上营销管理经验，其中3年以上同类职位团队管理经验；?3、具有互联网电商营销经验，熟悉快消品行业经营管理模式优先；?4、具有领导力、营销推广能力、结果导向、创新能力、抗压能力；?5、具有较强的团队管理能力、业务推进能力、逻辑思维能力、数据分析能力。,峨眉山万佛绿色食品有限公司,"消费品,食,饮,烟酒",民营,NULL,100-499人,NULL,12/26/17,直聘网,http://www.zhipin.cn/jobs/700
高级Java开发工程师,NULL,北京-朝阳区,全职,3-5年经验,本科,20000以上 ," 大学本科以上计算机, 通信相关专业；",1,NULL,"职位描述                        工作职责:?1. 参与项目设计, 开发, 技术难点攻关?2. 监督和指导初级程序员的工作, 保证项目质量?3. 记录开发文档；?4. 其他技术相关工作任务?职位要求:1. 大学本科以上计算机, 通信相关专业；?2. 4年以上相关工作经验, 全程参与至少一个完整项目的开发?3. 良好的技术基础, 精通Java, HTML, SQL?4. 熟练使用Maven, Spring, MyBatis, Freemarker?5. 熟悉CSS, ****, 有调试修改的经验?6. 熟悉主流数据库，Oracal或MySQL, 有调优经验?7、具备良好的沟通能力, 团队合作能力，有责任心?加分项:1. 熟悉微信公众号开发?2. 熟悉支付相关业务的技术实现?3. 线上项目中使用过dubbo框架",北京花果信息技术有限公司,"金融,投资,证券",民营,NULL,100-499人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/24
Linux C/C++软件工程师,NULL,深圳-宝安区,全职,3-5年经验,大专,10000-15000 ,计算机软件相关专业,1,"环境好,有提成,有年假",职位描述                        任职资格：1、计算机软件相关专业，本科以上学历（专科学历优秀者亦可考虑）；2、精通C、C++语言；掌握数据结构，常用算法；具有2年以上Linux C/C++项目开发经验；3、至少熟悉一种以上的以C语言为主的单片机编程；（熟悉stm32的，优先考虑）；4、熟悉TCP/IP原理，熟练掌握网络编程、多进程、多线程及进程间通信等技术；5、熟悉ubuntu或其他Linux系统环境，熟练使用shell脚本语言；6、熟悉云计算架构，虚拟化技术，掌握云终端连接协议的优先考虑；7、具有良好的学习能力和团队协作精神，能够吃苦耐劳，做事严谨，对工作认真负责.,深圳市安全家科技有限公司,"批发,零售",民营,NULL,20-99人,NULL,12/26/17,直聘网,http://www.zhipin.cn/jobs/718
数据运营,NULL,北京-海淀区,全职,3-5年经验,本科,10000-15000 ,社会学、经济学、统计学等和数据分析高度相关专业,1,NULL,"职位描述                        一、岗位职责1. 搭建业务指标体系，并进行指标分解，为业务决策提供支持2. 监察数据指标，设计指标预警方案，给出业务建议3. 构建用户分析体系，包含用户行为分析，用户画像分析等4. 结合业务需求，前瞻性规划数据分析体系，对数据分析团队的短期和长期产出负责5.与业务定期沟通，了解业务痛点，挖掘可输出的数据和产品结合点二、任职要求1. 本科以上学历，社会学、经济学、统计学等和数据分析高度相关专业,211,985优先。2. 具有2年以上数据分析工作经验，有互联网工作经验者优先。3.具有业务Sense&产品Sense，有业务抽象能力&领域建模能力。4. 具备优秀的信息整合和分析能力，能够形成清晰的业务观点和前瞻判断5.熟练掌握SQL。熟悉R语言或者python语言，能熟练掌握其一者优先。6.熟悉常用机器学习算法，如逻辑回归/贝叶斯网络/决策树/随机森林/GBDT/支持向量机/深度神经网络等，对于特征工程、算法选择和调优、测试评估有实战经验者优先；7. 具有开拓精神，乐于面对挑战，负责敬业",银客金融信息服务（北京）有限公司,"金融,投资,证券",民营,NULL,500-999人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/25
视觉设计师/UI设计师,NULL,北京-朝阳区,全职,3-5年经验,本科,10000-15000 ,NULL,1,NULL,职位描述                        岗位职责：1、负责业务线视觉设计工作 ；2、和团队一起构思与创意，灵活提供视觉解决方案 ；3、关注功能点数据变化，及时调整 ；4、关注分析流行设计趋势， 研究目标用户审美倾向并持续优化；任职资格： ? ? ? ? ?1、你的理想需要是做一名设计师而不是美工，动脑的时间比动手的时间长；2、敏锐判断视觉设计的可行性并推动设计产出有效落地，善于发挥视觉创意和表现力；3、了解视觉设计的系统性知识，能够巧妙运用视觉要素，系统地考虑视觉的统一性；4、我们不在意你拥有一个粗犷的外表，但要有一颗细致的内心 ，能够有耐心反复推敲自己的设计，持续优化；5、设计，美术相关专业本科以上学历优先；,北京花果信息技术有限公司,"金融,投资,证券",民营,NULL,100-499人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/20
嵌入式软件工程师（3D打印方向）,NULL,天津-北辰区,全职,1-3年经验,本科,5000-10000 ,自动化、电子技术及相关专业,2,"双休,五险一金,朝九晚五",职位描述                        岗位要求：1、负责3D打印机控制系统软件的开发、维护工作；2、负责产品升级、新产品开发相关的软件编程工作；?任职要求：1、自动化、电子技术及相关专业，国家统招正规大学本科及以上学历；2、英语良好，能阅读理解英文数据手册；3、精通常用的stm32单片机，能熟练上手；熟悉编程调试过程，?? C语言程序编写规范，注释完整，编程思路清晰。4、精通C/C++等编程语言，熟悉ARM，有STM32编程开发经验者优先，对?? 数控系统有一定的了解。,泰华宏业（天津）机器人技术研究院有限责任公司,"互联网,电子商务",民营,NULL,20-99人,NULL,12/26/17,直聘网,http://www.zhipin.cn/jobs/697
嵌入式硬件工程师,NULL,天津-北辰区,全职,1-3年经验,本科,5000-10000 ,电子、机电、自动化等相关专业,3,"双休,五险一金,朝九晚五",职位描述                        岗位要求：1.负责3D打印机硬件开发、包括器件选型、原理图设计，PCB设计、打样、调试等工作，并对相关设计质量负责；2.编写技术文档和标准化资料，包括产品电路原理图，BOM，PCB板图等；3.负责BOM编写和建立维护、物料确认；4.对接电路板生产，跟进物料。5.负责及时指导、处理、协调和解决测试、打样、试产及量产等过程中出现的技术问题，保证生产经营工作的正常进行，确保研发及生产计划的按时完成。任职要求：1.本科以上学历，电子、机电、自动化等相关专业；2.英语良好，能阅读理解英文数据手册；3.能够独立设计模拟、数字电路，熟悉并设计过STM32等系MCU者优先；4.熟练使用Altium Designer等软件，能独立完成高速电路的设计；5.具有电路板焊接及调试经验，熟练使用相关测试仪器；,泰华宏业（天津）机器人技术研究院有限责任公司,"互联网,电子商务",民营,NULL,20-99人,NULL,12/26/17,直聘网,http://www.zhipin.cn/jobs/698
【东芝研发中心】研究部部长,NULL,北京-朝阳区,全职,5-10年经验,博士,20000以上 ,计算机或相关专业,1,NULL,"职位描述                        职位描述：语音和自然语言技术方面的研发管理与产品化，密切跟踪技术潮流、分析研究前沿技术，与日本和英国的实验室合作制定中长期的研发计划，管理并且参与研究课题、产品竞标、国际比赛、论文发表、专利提案等，管理研究部的人事和预算，协同技术策划部、开发部的活动，参与高校产学研活动， 完成东芝语音和语言技术的中文本地化，整合本地的学术研究和开发资源，把技术转化成适合本地用户习惯的产品和服务，为东芝集团创造利润和声誉。职位要求：精通C/C++或其它编程语言，熟悉Linux平台，对数据结构和算法设计有较为深刻的理解，拥有优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情。具有良好的沟通能力，和良好的团队合作精神，有语音技术相关经验者优先。熟悉以下技术者优先：HTK系统，语音识别解码算法，语音信号处理，对话系统，Kaldi、Caffee工具等；HTS系统, 语音生成器，韵律文本分析，大语料库拼接合成，HMM参数合成等；MOSES系统，分词与词性标注，parser，SMT，NMT，深度学习工具等。计算机或相关专业博士学位，工作经验五年或以上，有带领研发团队的经验，拥有互联网产品经验者优先。良好的外语沟通能力 （英语 和/或 日语）",东芝（中国）有限公司,"计算机系统,维修",上市公司,已上市,100-499人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/30
语音技术资深研究员,NULL,北京-朝阳区,全职,3-5年经验,硕士,20000以上 , ?信号与信息处理、模式识别与智能系统以及计算机等相关专业,1,NULL,"职位描述                        工作职责:1.研究与优化语音识别/合成性能2.大词汇量连续语音识别/合成系统的开发3.基于海量数据的模型训练及自适应算法研究（DNN,RNN,CNN,HMM）4.跟踪国内外最新的语音识别或语音合成相关的先进技术，提出改善现有引擎精度的新方法5.对语音团队进行管理，带领团队实现提出的目标职位要求:1. ?信号与信息处理、模式识别与智能系统以及计算机等相关专业，博士或硕士学历2. ?良好的 C/C++编程能力，熟悉perl 或者python 等脚本语言3. ?熟悉语音识别/模式识别/神经网络/信号处理等相关算法，了解语音识别的各模块关键技术4. ?良好的沟通和管理能力，有团队管理经验优先5. ?英语良好",东芝（中国）有限公司,"计算机系统,维修",上市公司,已上市,100-499人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/32
商务主管,NULL,北京-海淀区,全职,3-5年经验,本科,10000-15000 ,财务、法律专业者优先；2年以上商务经,1,NULL,"职位描述                        岗位职责：1.熟悉商务流程，负责乙方数据、征信公司渠道拓展、洽谈、采购；2.参与合同的谈判，负责合同签订流程，监督合同履行情况、及时处理合同执行过程中遇到的问题；3.负责部门对外业务项目合同、商务函的撰写，制作合同模板；4.负责合同等文件资料的归类、扫描、整理、建档和保管工作；5.完成部门领导交办的其他工作；任职要求：1.财务、法律专业者优先；2年以上商务经验2.有较强的学习能力和开拓力，性格开朗外向，沟通能力强，做事认真细致，有责任感和风险意识；3.沟通协调能力强，有良好的团队协作能力；4.良好的文案撰写功底，熟练掌握office办公软件，熟练使用PPT、EXCEL,具备较强的数据和报价整合分析能力。",银客金融信息服务（北京）有限公司,"金融,投资,证券",民营,NULL,500-999人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/27
SEO经理,NULL,上海-杨浦区,全职,3-5年经验,本科,10000-15000 ,计算机专业,1,NULL,职位描述                        1、全面负责公司网站和产品的SEO，能够根据公司战略发展要求，制定全面的搜索引擎优化策略，对SEO效果负责；2、建立网站SEO标准，把握SEO行业的方向，分析和总结竞争对手的SEO方法，并合理运用，不断提高网站优化水平；3、与产品、技术等部门协同工作按时保质保量完成SEO项目；4、对相关部门的内容、产品上线发布进行优化检查；5、完成上级交付的其它工作内容。任职要求：1、本科及以上学历，3年工作经验，计算机专业优先；2、负责内/外链的建设，能够快速高效的获得优质外链资源；3、熟悉网站ALEXA排名、提升排名的各种网站优化措施，如：了解搜索引擎优化、交换链接、网站检测等相关技术性推广的路径优化，页面优化，网站整体优化；4、SEO数据监控全面解读数据，精通google analytics等分析工具。,上海融之家金融信息服务有限公司,"金融,投资,证券",民营,NULL,100-499人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/34
机器学习/自然语言处理/机器翻译研究员,NULL,北京-朝阳区,全职,1-3年经验,硕士,20000以上 ,机器翻译，机器学习，数据挖掘及信息检索领域专业,-1,NULL,职位描述                        工作职责:研究与优化机器翻译性能职位要求:1. ?自然语言，机器翻译，机器学习，数据挖掘及信息检索领域专业或计算机相关毕业，硕士或博士生2. ?较强的C/C++ 编程和算法基础，有perl、python、shell 等脚本处理经验者更佳，熟悉linux 开发环境3. ?有机器翻译或NLP 相关技术背景或开发经验优先4. ?有除英语外的其他外语背景或相关开发经验优先5. ?具有较强的沟通交流能力，逻辑能力，能很好的理解项目需求6. ?有较强的分析问题和解决问题的能力，工作有激情，能承受压力7. ?具有较好的团队合作精神、沟通能力和较强的责任感8. ?优秀的应届毕业生也可考虑,东芝（中国）有限公司,"计算机系统,维修",上市公司,已上市,100-499人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/31
中级Java开发工程师,NULL,上海-杨浦区,全职,3-5年经验,本科,15000-20000 ,NULL,1,NULL,"职位描述                        岗位职责1.配合产品经理，对于需求变更能够准确评估影响，给出合理建议2.参与项目前期调研、后期测试和上线后的系统运维，提供优质的服务和优秀的工程质量3.持续优化，不断完善产品，善于发现问题解决问题任职资格1.专业要求：精通Java语言，熟悉常见框架Spring, Mybatis, Jersey, RabbitMQ，精通相关开发工具 Maven, Git, SoapUI, Eclipse；了解常用服务器Apache, Tomcat环境配置，掌握常见关系型数据库 Oracle,Mysql以及KVS存储技术Redis,Cassandra；熟练使用Linux/Unix平台及shell（bash/csh/shell/ tcsh）脚本；熟悉面向对向编程，能够熟练使用常见UML工具建模；熟悉自动化单元测试技术，测试驱 动模式和敏捷开发模式",上海融之家金融信息服务有限公司,"金融,投资,证券",民营,NULL,100-499人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/35
高级产品经理,NULL,上海-静安区,全职,1-3年经验,本科,15000-20000 ,计算机/数据统计专业,1,NULL,"职位描述                        工作职责：1、带领团队完成产品的调研、分析及设计，跟踪、分析、挖掘产品的客户需求,并能结合公司整体的业务策略进行需求评估；2、深入理解个性化推荐，根据业务现状和目标，持续优化推荐策略，促进核心数据增长；3、搭建用户体验行为分析跟踪机制，驱动体验优化；4、负责产品研发项目的实施和推进，持续对产品实施优化和升级，监控规划设计至测试发布的全过程；5、业务指标数据监控与分析，竞品体验监控与分析，提出产品迭代计划与推进落地，并对产品上线负责；6、与技术、设计、运营团队紧密配合，快速、高效推动产品设计、研发、运营及推广。职位要求：1、本科及以上学历，2年以上的移动产品行业工作经验，具备内容、社区、视频、移动端行业经验，计算机/数据统计专业优先，具备内容产品工作经验优先；2、熟悉互联网平台产品的开发流程，并曾经组织过产品设计、研发、推广及改进整个过程；3、对推荐算法有一定了解，具备优秀的数据分析能力；4、出色的语言、沟通、组织和协调能力，极强的问题解决能力，执行力强；5、对产品设计应有自己独立理解，并善于聆听用户、团队和合作伙伴的声音；6、热爱to C产品，对多媒体社区社交产品有深刻理解；7、熟练使用各类手机应用app， 熟练运用交互设计各种方法，对用户体验方面的理论有较深的了解和认识，对交互设计在产品设计前、中、后期的职责有一定的理解与实际应用经验；8、精通互联网产品和服务，对手机客户端的运营和推广有比较深刻的认识，掌握丰富的推广方法及客户资源。",上海如书文化传播有限公司,"计算机软件,硬件",民营,NULL,20-99人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/37
